Catalonië,Autonome regio Spanje,Spanje,Europa,Autonome regio,Catalonische keuken,"Pa amb tomàquet; Escudella","Crema catalana; Fideuà","De Catalaanse keuken combineert berg- en mediterrane tradities. Pa amb tomàquet is eenvoudig brood met tomaat, olie en zout.","Brood; tomaat; olijfolie; vis; vlees","Catalaans; Mediterraan; Frans"
Corsica,Regio Frankrijk,Frankrijk,Europa,Regio,Corsicaanse keuken,"Porceddu; Brocciu","Civet de sanglier; Fiadone","De Corsicaanse keuken combineert Franse en Italiaanse eilandtradities. Wild zwijn en lokale kazen zijn kenmerkend.","Varkensvlees; kaas; kastanjes; kruiden","Italiaans; Frans; Mediterraan"
Sardinië,Autonome regio Italië,Italië,Europa,Regio,Sardijnse keuken,"Porceddu; Culurgiones","Pane carasau; Bottarga","De Sardijnse keuken heeft sterke eilandtradities en gebruikt veel lokale producten. Porceddu is langzaam geroosterd speenvarken.","Varken; schapenkaas; pasta; vis","Italiaans; Mediterraan; herderscultuur"
Sicilië,Autonome regio Italië,Italië,Europa,Regio,Siciliaanse keuken,"Arancini; Pasta alla Norma","Caponata; Cannoli","De Siciliaanse keuken is gevormd door Griekse, Arabische en Italiaanse invloeden. Zoet-zure smaken en citrus zijn kenmerkend.","Aubergine; rijst; citrus; vis","Italiaans; Arabisch; Grieks"
Vlaanderen,Regio België,België,Europa,Regio,Vlaamse keuken,"Stoofvlees; Mosselen-friet","Waterzooi; Witloof","De Vlaamse keuken combineert bier, vlees en zeeproducten. Stoofvlees wordt traditioneel bereid met Belgisch bier.","Rundvlees; bier; aardappel; witloof","Germaans; Frans; Belgisch"
Wallonië,Regio België,België,Europa,Regio,Waalse keuken,"Boulettes à la Liégeoise","Tarte al djote; Carbonnade","De Waalse keuken heeft Franse en Ardennense invloeden. Stoofgerechten en streekproducten zijn belangrijk.","Vlees; stroop; kaas; aardappel","Frans; Ardennen"
Bretagne,Regio Frankrijk,Frankrijk,Europa,Regio,Bretonse keuken,"Crêpes; Galettes","Kouign-amann; Fruits de mer","De Bretonse keuken is verbonden met de Atlantische kust. Boekweitpannenkoeken en zeevruchten zijn iconisch.","Boekweit; boter; zeevruchten; room","Keltisch; Frans; Atlantisch"
Beieren,Deelstaat Duitsland,Duitsland,Europa,Regio,Zuid-Duitse keuken,"Weißwurst; Schweinshaxe","Pretzel; Obatzda","De Beierse keuken staat bekend om biercultuur, vlees en stevige gerechten. Weißwurst is een traditionele witte worst.","Varkensvlees; tarwe; bier; kaas","Germaans; Alpen"
Zuid-Tirol,Autonome provincie Italië,Italië,Europa,Regio,Alpenkeuken,"Speck; Knödel","Apfelstrudel; Kaiserschmarrn","Zuid-Tirol combineert Italiaanse en Oostenrijkse tradities. Knödel en gerookt spek zijn belangrijke streekproducten.","Spek; brood; aardappel; kaas","Oostenrijks; Italiaans; Alpen"
Galicië,Autonome regio Spanje,Spanje,Europa,Regio,Atlantische keuken,"Pulpo a feira; Empanada gallega","Caldo gallego","De Galicische keuken is sterk verbonden met de Atlantische Oceaan. Octopus en zeevruchten spelen een centrale rol.","Octopus; vis; aardappel; paprika","Keltisch; Spaans; Atlantisch"
Andalusië,Autonome regio Spanje,Spanje,Europa,Regio,Zuid-Spaanse keuken,"Gazpacho; Jamón ibérico","Salmorejo; Pescaíto frito","De Andalusische keuken heeft sterke Moorse invloeden. Koude soepen en gefrituurde vis zijn typisch.","Tomaat; olijfolie; ham; vis","Arabisch; Spaans; Mediterraan"
Schotland,Deelstaat Verenigd Koninkrijk,Verenigd Koninkrijk,Europa,Regio,Keltische keuken,"Haggis; Cullen skink","Shortbread; Scotch pie","De Schotse keuken gebruikt veel granen, vis en wild. Haggis is een traditioneel gerecht gemaakt van orgaanvlees en granen.","Schapen; haver; vis; aardappel","Keltisch; Brits"
Wales,Deelstaat Verenigd Koninkrijk,Verenigd Koninkrijk,Europa,Regio,Keltische keuken,"Welsh rarebit; Cawl","Bara brith; Laverbread","De Welshe keuken combineert Keltische tradities met Britse invloeden. Cawl is een traditionele stoofsoep.","Lam; kaas; brood; zeewier","Welsh; Keltisch; Brits"
Noord-Ierland,Deelstaat Verenigd Koninkrijk,Verenigd Koninkrijk,Europa,Regio,Ierse keuken,"Ulster fry; Soda bread","Champ; Irish stew","De Noord-Ierse keuken deelt veel tradities met Ierland en Groot-Brittannië.","Aardappel; brood; spek; eieren","Iers; Brits"
Jersey,Kroongebied Verenigd Koninkrijk,Verenigd Koninkrijk,Europa,Kroongebied,Eilandkeuken,"Jersey Royal potatoes; Bean jar","Zeevruchten","Jersey staat bekend om aardappelen en zeeproducten. De keuken combineert Britse en Franse eilandtradities.","Aardappel; vis; bonen","Brits; Frans"
Guernsey,Kroongebied Verenigd Koninkrijk,Verenigd Koninkrijk,Europa,Kroongebied,Eilandkeuken,"Bean jar; Gâche","Zeevruchten","Guernsey heeft een traditionele eilandkeuken met invloeden uit Normandië en Groot-Brittannië.","Bonen; brood; vis; room","Normandisch; Brits"
Svalbard,Noorse eilandengroep,Noorwegen,Europa/Arctica,Overzees gebied,Arctische keuken,"Rendiergerechten; Arctische vis","Wildgerechten","Door het extreme klimaat is de keuken beperkt en gebaseerd op conservering en lokale jacht.","Rendier; vis; wild","Noords; Arctisch"
Canada,Land,Canada,Noord-Amerika,Land,Noord-Amerikaanse keuken,"Poutine; Tourtière","Maple syrup gerechten; Butter tarts","Canada heeft geen officieel nationaal gerecht, maar poutine wordt vaak gezien als culinair symbool. De keuken verschilt sterk per regio, van Franse invloeden in Québec tot inheemse tradities.","Aardappel; kaaswrongel; jus; wild; vis","Inheems; Frans; Brits"
Verenigde Staten,Land,Verenigde Staten,Noord-Amerika,Land,Amerikaanse keuken,"Hamburger; BBQ; Apple pie","Fried chicken; Mac and cheese","De Verenigde Staten hebben geen officieel nationaal gerecht door de grote culturele diversiteit. Hamburger en barbecue zijn wereldwijd herkenbare symbolen.","Rundvlees; maïs; aardappel; tarwe; vlees","Inheems; Europees; Afrikaans; Latijns-Amerikaans"
Mexico,Land,Mexico,Noord-Amerika,Land,Meso-Amerikaanse keuken,"Taco's; Mole; Tamales","Pozole; Chiles en nogada","De Mexicaanse keuken is gebaseerd op oude inheemse tradities gecombineerd met Spaanse invloeden. Maïs, chili en bonen vormen de basis.","Maïs; chili; bonen; tomaat; cacao","Maya; Azteeks; Spaans"
Guatemala,Land,Guatemala,Noord-Amerika,Land,Meso-Amerikaanse keuken,"Pepián; Kak-ik","Tamales; Jocón","De Guatemalteekse keuken behoudt sterke Maya-invloeden. Pepián is een rijke stoofpot met geroosterde specerijen.","Maïs; kip; chili; pompoenpitten","Maya; Spaans; Meso-Amerikaans"
Belize,Land,Belize,Noord-Amerika,Land,Caribische/Centraal-Amerikaanse keuken,"Rice and beans with stew chicken","Hudut; Ceviche","De Belizaanse keuken combineert Maya-, Creoolse, Garifuna- en Britse invloeden. Rijst met bonen en kip is een veel gegeten basisgerecht.","Rijst; bonen; kip; kokos; vis","Maya; Caribisch; Creools"
El Salvador,Land,El Salvador,Noord-Amerika,Land,Meso-Amerikaanse keuken,"Pupusa","Yuca frita; Sopa de res","Pupusa is een gevulde maïstortilla en wordt gezien als nationaal gerecht. Het gerecht weerspiegelt de inheemse Pipil-cultuur.","Maïs; kaas; bonen; varkensvlees","Pipil; Spaans; Meso-Amerikaans"
Honduras,Land,Honduras,Noord-Amerika,Land,Midden-Amerikaanse keuken,"Baleada","Sopa de caracol; Tamales","Baleadas zijn gevulde tarwetortilla's en behoren tot de bekendste Hondurese gerechten.","Tarwe; bonen; kaas; room","Maya; Spaans; Caribisch"
Nicaragua,Land,Nicaragua,Noord-Amerika,Land,Midden-Amerikaanse keuken,"Gallo pinto; Nacatamal","Vigorón; Rondón","Gallo pinto is een rijst-en-bonen gerecht dat dagelijks wordt gegeten. Het komt veel voor in heel Midden-Amerika.","Rijst; bonen; varkensvlees; maïs","Inheems; Spaans; Creools"
Costa Rica,Land,Costa Rica,Noord-Amerika,Land,Midden-Amerikaanse keuken,"Gallo pinto; Casado","Olla de carne; Ceviche","Gallo pinto wordt vaak beschouwd als nationaal gerecht van Costa Rica. Het combineert rijst, bonen en kruiden.","Rijst; bonen; koriander; vlees","Spaans; Caribisch"
Panama,Land,Panama,Noord-Amerika,Land,Midden-Amerikaanse keuken,"Sancocho; Arroz con pollo","Ceviche; Ropa vieja","De Panamese keuken combineert Latijns-Amerikaanse, Caribische en Afro-Antilliaanse invloeden.","Kip; rijst; cassave; kruiden","Spaans; Afro-Caribisch; inheems"
Cuba,Land,Cuba,Noord-Amerika,Land,Caribische keuken,"Ropa vieja; Moros y cristianos","Lechón asado; Vaca frita","De Cubaanse keuken combineert Spaanse, Afrikaanse en Caribische tradities. Ropa vieja is gestoofd rundvlees met groenten.","Rundvlees; rijst; bonen; citrus","Spaans; Afrikaans; Caribisch"
Jamaica,Land,Jamaica,Noord-Amerika,Land,Caribische keuken,"Ackee and saltfish; Jerk chicken","Curry goat; Rice and peas","Ackee and saltfish is het nationale gerecht van Jamaica. Jerk cooking gebruikt een kenmerkende mix van kruiden en specerijen.","Vis; ackee; kip; piment; chili","Afrikaans; Brits; Indiaas; Caribisch"
Haïti,Land,Haïti,Noord-Amerika,Land,Haitiaanse keuken,"Griot; Soup joumou","Diri ak pwa; Tassot","De Haïtiaanse keuken combineert Afrikaanse, Franse en Caribische invloeden. Soup joumou is cultureel verbonden met onafhankelijkheid.","Varkensvlees; pompoen; rijst; bonen","Frans; Afrikaans; Taíno"
Dominicaanse Republiek,Land,Dominicaanse Republiek,Noord-Amerika,Land,Caribische keuken,"La bandera dominicana","Mangú; Sancocho","La bandera is een bord met rijst, bonen en vlees dat de kleuren van de vlag symboliseert.","Rijst; bonen; vlees; bakbanaan","Spaans; Afrikaans; Taíno"
Trinidad en Tobago,Land,Trinidad en Tobago,Noord-Amerika,Land,Caribische keuken,"Doubles; Pelau","Roti; Callaloo","De keuken combineert Indiase, Afrikaanse en Caribische invloeden. Doubles zijn populaire streetfood broodjes met kikkererwten.","Kikkererwten; brood; rijst; kokos; kruiden","Indiaas; Afrikaans; Caribisch"
Barbados,Land,Barbados,Noord-Amerika,Land,Caribische keuken,"Cou-cou and flying fish","Fish cakes; Pepperpot","Cou-cou met vliegende vis wordt gezien als nationaal gerecht. De keuken weerspiegelt de eilandcultuur en zeevaart.","Vis; maïsmeel; okra; kruiden","Afrikaans; Brits; Caribisch"
Bahama's,Land,Bahama's,Noord-Amerika,Land,Caribische keuken,"Conch salad","Peas n rice; Cracked conch","De Bahamaanse keuken draait rond zeevruchten. Conch, een grote zeeslak, is een belangrijk lokaal ingrediënt.","Conch; vis; rijst; citrus","Afrikaans; Brits; Caribisch"
Grenada,Land,Grenada,Noord-Amerika,Land,Caribische keuken,"Oil down","Callaloo; Roti","Oil down is een stoofgerecht met broodvrucht, kokosmelk en vlees of vis. Het wordt beschouwd als nationaal gerecht.","Broodvrucht; kokos; vis; vlees","Afrikaans; Caribisch"
Saint Lucia,Land,Saint Lucia,Noord-Amerika,Land,Caribische keuken,"Green fig and saltfish","Bouyon; Accra","Green fig and saltfish is een gerecht van groene banaan en gezouten vis.","Banaan; vis; kokos; groenten","Frans; Brits; Caribisch"
Dominica,Land,Dominica,Noord-Amerika,Land,Caribische keuken,"Mountain chicken; Callaloo soup","Crab backs; Fish broth","De keuken van Dominica gebruikt veel lokale planten en zeeproducten. Callaloo is een traditionele soep met bladgroenten.","Bladgroenten; vis; krab; kruiden","Caribisch; Frans; Brits"
Saint Vincent en de Grenadines,Land,Saint Vincent en de Grenadines,Noord-Amerika,Land,Caribische keuken,"Roasted breadfruit and fried jackfish","Callaloo; Fish soup","Broodvrucht met vis is een traditioneel eilandgerecht. De keuken combineert Afrikaanse en Caribische tradities.","Broodvrucht; vis; kokos; groenten","Afrikaans; Caribisch"
Antigua en Barbuda,Land,Antigua en Barbuda,Noord-Amerika,Land,Caribische keuken,"Fungee and pepperpot","Saltfish; Ducana","Fungee is een maïsmeelgerecht en pepperpot een rijke stoofpot.","Maïs; vlees; vis; kruiden","Afrikaans; Brits; Caribisch"
Puerto Rico,Amerikaans territorium,Verenigde Staten,Noord-Amerika,Autonoom territorium,Caribische keuken,"Mofongo; Arroz con gandules","Lechón asado; Pasteles","Puerto Rico heeft geen officiële onafhankelijkheid maar wel een zeer herkenbare eigen keuken. Mofongo bestaat uit gestampte bakbanaan met vlees of zeevruchten.","Bakbanaan; varkensvlees; rijst; knoflook","Spaans; Afrikaans; Taíno; Caribisch"
Curaçao,Landen binnen het Koninkrijk der Nederlanden,Nederland,Noord-Amerika,Autonoom land binnen koninkrijk,Caribische keuken,"Keshi yena; Funchi","Karni stoba; Pastechi","De Curaçaose keuken combineert Nederlandse, Latijns-Amerikaanse en Afro-Caribische invloeden. Keshi yena is een gevulde kaas met vlees en groenten.","Kaas; kip; rundvlees; maïsmeel","Nederlands; Spaans; Afrikaans; Caribisch"
Aruba,Landen binnen het Koninkrijk der Nederlanden,Nederland,Noord-Amerika,Autonoom land binnen koninkrijk,Caribische keuken,"Keshi yena; Pastechi","Ayaca; Sopito","De Arubaanse keuken is gevormd door Zuid-Amerikaanse, Nederlandse en Caribische invloeden.","Kaas; vlees; maïs; vis","Spaans; Nederlands; Caribisch"
Bonaire,Bijzondere gemeente Nederland,Nederland,Noord-Amerika,Openbaar lichaam,Caribische keuken,"Kabritu stoba; Funchi","Iguana soep; Pastechi","De Bonairiaanse keuken gebruikt veel lokale ingrediënten zoals geitenvlees en zeeproducten.","Geitenvlees; maïs; vis; kokos","Afro-Caribisch; Spaans; Nederlands"
Bermuda,Brits overzees gebied,Verenigd Koninkrijk,Noord-Amerika,Overzees gebied,Atlantische eilandkeuken,"Fish chowder","Codfish breakfast; Hoppin' John","De Bermudaanse keuken combineert Britse en Caribische invloeden. Fish chowder is een soep met vis, tomaat en kruiden.","Vis; tomaat; rum; kruiden","Brits; Caribisch; Atlantisch"
Groenland,Autonoom gebied binnen Koninkrijk Denemarken,Denemarken,Noord-Amerika,Autonoom gebied,Arctische keuken,"Suaasat","Gedroogde vis; Muskox gerechten","De Groenlandse keuken is gebaseerd op jacht en zee. Suaasat is een traditionele soep met zeehond, walvis of wild.","Zeehond; walvis; vis; wild","Inuit; Deens; Arctisch"
Saint-Pierre en Miquelon,Frans overzees gebied,Frankrijk,Noord-Amerika,Overzees gebied,Atlantische keuken,"Visgerechten; Tourtière","Kabeljauwgerechten","De keuken combineert Franse tradities met Noord-Atlantische viscultuur.","Kabeljauw; schaaldieren; aardappel","Frans; Canadees"
Amerikaanse Maagdeneilanden,Amerikaans territorium,Verenigde Staten,Noord-Amerika,Overzees territorium,Caribische keuken,"Fungi and fish","Johnny cakes; Callaloo","De keuken combineert Deense koloniale geschiedenis met Afrikaanse en Caribische tradities.","Vis; maïsmeel; groenten","Afrikaans; Caribisch; Deens"
Britse Maagdeneilanden,Brits overzees gebied,Verenigd Koninkrijk,Noord-Amerika,Overzees gebied,Caribische keuken,"Fish and fungi","Roti; Conch gerechten","De keuken is gebaseerd op zeeproducten en Caribische tradities.","Vis; maïsmeel; schelpdiertjes","Brits; Caribisch"
Kaaimaneilanden,Brits overzees gebied,Verenigd Koninkrijk,Noord-Amerika,Overzees gebied,Caribische keuken,"Turtle stew","Conch fritters; Fish rundown","De traditionele keuken gebruikt veel zeeproducten. Schildpadstoof was historisch belangrijk.","Schildpad; vis; kokos; kruiden","Caribisch; Brits"
Turks- en Caicoseilanden,Brits overzees gebied,Verenigd Koninkrijk,Noord-Amerika,Overzees gebied,Caribische keuken,"Conch gerechten","Peas n rice; Fish stew","De eilanden staan bekend om conch, een lokale zeeslak. De keuken is eenvoudig en gericht op zeeproducten.","Conch; vis; rijst; limoen","Caribisch; Brits"
Montserrat,Brits overzees gebied,Verenigd Koninkrijk,Noord-Amerika,Overzees gebied,Caribische keuken,"Goat water","Cassava bread; Fish dishes","Goat water is een geitenstoofpot en wordt gezien als nationaal gerecht van Montserrat.","Geit; aardappel; kruiden","Iers; Caribisch; Brits"
Anguilla,Brits overzees gebied,Verenigd Koninkrijk,Noord-Amerika,Overzees gebied,Caribische keuken,"Pigeon peas and rice; Grilled lobster","Johnny cakes; Fish soup","De Anguillaanse keuken draait rond zeevruchten en eilandproducten.","Kreeft; rijst; erwten; vis","Brits; Caribisch"
Guadeloupe,Frans overzees departement,Frankrijk,Noord-Amerika,Overzees departement,Creoolse keuken,"Colombo de poulet; Accras","Bokit; Boudin créole","De Guadeloupse keuken combineert Franse technieken met Caribische kruiden.","Kip; kokos; vis; chili","Frans; Afrikaans; Indiaas; Caribisch"
Martinique,Frans overzees departement,Frankrijk,Noord-Amerika,Overzees departement,Creoolse keuken,"Colombo; Accras","Boudin créole; Court-bouillon","Martinique heeft een sterke Creoolse keuken met Franse en Afrikaanse wortels.","Vis; kip; kruiden; cassave","Frans; Afrikaans; Caribisch"
Frans-Guyana,Frans overzees departement,Frankrijk,Zuid-Amerika/Noord-Amerika,Overzees departement,Amazonische keuken,"Bouillon d'awara","Colombo; Creoolse gerechten","De keuken combineert Franse, Creoolse, Indiaanse en Braziliaanse invloeden.","Palmvrucht; vis; kip; cassave","Frans; Creools; Amazone"
Sint-Maarten,Nederlandse en Franse eilandregio,Nederland/Frankrijk,Noord-Amerika,Gedeeld eilandgebied,Caribische keuken,"Johnny cake; Lolo gerechten","Guavaberry producten; Zeevruchten","Sint-Maarten heeft een mix van Nederlandse, Franse en Caribische keuken.","Vis; maïs; kip; kruiden","Frans; Nederlands; Caribisch"
Saint-Barthélemy,Frans overzees gebied,Frankrijk,Noord-Amerika,Overzees gebied,Frans-Caribische keuken,"Accras; Colombo","Zeevruchten","De keuken combineert Franse eilandcultuur met Creoolse smaken.","Vis; kruiden; groenten","Frans; Caribisch"
Navajo Nation,Inheems soeverein gebied,Verenigde Staten,Noord-Amerika,Inheems gebied,Inheemse Noord-Amerikaanse keuken,"Navajo frybread","Mutton stew; Blue corn gerechten","De Navajo-keuken gebruikt traditionele ingrediënten zoals maïs en schapenvlees. Frybread ontstond deels uit historische omstandigheden tijdens koloniale druk.","Maïs; lam; bonen; meel","Diné; Pueblo; Amerikaans"
Inuit Nunangat,Inheems cultureel gebied,Canada,Noord-Amerika,Inheems gebied,Arctische keuken,"Bannock; Inuit country food","Caribou; Arctic char","De Inuit-keuken is aangepast aan extreme omstandigheden en gebruikt vooral lokale jacht en visvangst.","Kariboe; vis; zeehond; bessen","Inuit; Arctisch"
Argentinië,Land,Argentinië,Zuid-Amerika,Land,Rioplatense keuken,"Asado; Empanadas; Locro","Milanesa; Choripán","De Argentijnse keuken staat bekend om vleescultuur en barbecue. Asado is een sociale traditie waarbij verschillende stukken vlees langzaam worden gegrild.","Rundvlees; maïs; tarwe; chimichurri","Spaans; Italiaans; Inheems; Gaucho"
Bolivia,Land,Bolivia,Zuid-Amerika,Land,Andeskeuken,"Salteñas; Silpancho","Pique macho; Sopa de maní","De Boliviaanse keuken combineert Andestradities met Spaanse invloeden. Salteñas zijn gevulde deegpasteitjes met vlees of groenten.","Aardappel; maïs; vlees; quinoa","Aymara; Quechua; Spaans"
Brazilië,Land,Brazilië,Zuid-Amerika,Land,Braziliaanse keuken,"Feijoada; Churrasco","Moqueca; Coxinha","Brazilië heeft een zeer diverse keuken door de enorme omvang van het land. Feijoada is een stoofpot met bonen en vlees die vaak als nationaal gerecht wordt gezien.","Bonen; varkensvlees; rijst; cassave","Portugees; Afrikaans; Inheems; Japans"
Chili,Land,Chili,Zuid-Amerika,Land,Chileense keuken,"Empanadas de pino; Pastel de choclo","Cazuela; Completo","De Chileense keuken combineert zeeproducten, landbouw en Andesinvloeden. Pastel de choclo is een ovenschotel met maïs en vlees.","Maïs; rundvlees; vis; aardappel","Spaans; Mapuche; Mediterraan"
Colombia,Land,Colombia,Zuid-Amerika,Land,Colombiaanse keuken,"Bandeja paisa; Arepas","Ajiaco; Sancocho","Colombia heeft sterke regionale verschillen. Arepas zijn maïsbroden die in bijna het hele land worden gegeten.","Maïs; bonen; rijst; vlees; avocado","Inheems; Spaans; Afrikaans"
Ecuador,Land,Ecuador,Zuid-Amerika,Land,Andes/Pacifische keuken,"Encebollado; Llapingachos","Locro de papa; Ceviche","De Ecuadoriaanse keuken combineert kust-, Andes- en Amazoneculturen. Encebollado is een vissoep die vaak als nationaal gerecht wordt gezien.","Vis; cassave; aardappel; ui","Inheems; Spaans; Afro-Ecuadoriaans"
Guyana,Land,Guyana,Zuid-Amerika,Land,Caribisch-Zuid-Amerikaanse keuken,"Pepperpot; Cook-up rice","Roti; Curry gerechten","De Guyanese keuken combineert Indiase, Afrikaanse, Chinese en inheemse invloeden. Pepperpot is een langzaam gekookte stoofpot.","Cassave; vlees; rijst; kruiden","Indiaas; Afrikaans; Caribisch; Inheems"
Paraguay,Land,Paraguay,Zuid-Amerika,Land,Guaraní keuken,"Sopa paraguaya; Chipa","Mbejú; Asado","Paraguay heeft een sterke Guaraní culinaire traditie. Sopa paraguaya is ondanks de naam een hartige maïsbroodachtige cake.","Maïs; kaas; eieren; cassave","Guaraní; Spaans"
Peru,Land,Peru,Zuid-Amerika,Land,Peruaanse keuken,"Ceviche; Lomo saltado","Ají de gallina; Pachamanca","De Peruaanse keuken wordt vaak gezien als een van de meest diverse ter wereld. Ceviche is een gerecht van rauwe vis gemarineerd in citrus.","Vis; aardappel; maïs; chili; quinoa","Inca; Spaans; Japans; Chinees"
Suriname,Land,Suriname,Zuid-Amerika,Land,Surinaamse keuken,"Pom; Roti","Saoto soep; Heri heri","De Surinaamse keuken is een unieke mix van Hindostaanse, Javaanse, Creoolse en inheemse tradities.","Kip; pomtajer; rijst; kruiden","Hindoestaans; Javaans; Afrikaans; Nederlands"
Uruguay,Land,Uruguay,Zuid-Amerika,Land,Rioplatense keuken,"Asado; Chivito","Milanesa; Mate cultuur","De Uruguayaanse keuken lijkt sterk op Argentinië maar heeft eigen specialiteiten. Chivito is een rijk belegde steak sandwich.","Rundvlees; brood; kaas; eieren","Spaans; Italiaans; Gaucho"
Venezuela,Land,Venezuela,Zuid-Amerika,Land,Venezolaanse keuken,"Arepas; Pabellón criollo","Hallacas; Cachapas","Arepas zijn maïsbroden die dagelijks worden gegeten. Pabellón criollo combineert rijst, bonen, vlees en bakbanaan.","Maïs; rundvlees; bonen; bakbanaan","Inheems; Spaans; Afrikaans"
Naam,Status,Moederland_of_bestuur,Continent,Type,Culinaire_regio,Nationaal_gerecht(en),Alternatieve_gerechten,Beschrijving,Belangrijkste_ingrediënten,Keukeninvloeden
Patagonië,Culturele regio,Argentinië/Chili,Zuid-Amerika,Regio,Patagonische keuken,"Cordero patagónico; Asado","Trucha patagónica; Empanadas","Patagonië heeft een keuken gevormd door gaucho's, schapenhouderij en de Andes. Langzaam geroosterd lam is een belangrijk gerecht.","Lam; wild; vis; aardappel","Gaucho; Mapuche; Europees"
Andesregio,Culturele regio,Meerdere landen,Zuid-Amerika,Regio,Andeskeuken,"Pachamanca; Chuño gerechten","Quinoa gerechten; Cuy","De Andeskeuken gebruikt eeuwenoude gewassen zoals aardappel, quinoa en maïs.","Aardappel; quinoa; maïs; lama","Inca; Quechua; Aymara"
Amazonegebied,Culturele regio,Brazilië/Peru/Colombia e.a.,Zuid-Amerika,Regio,Amazonekeuken,"Tacacá; Pirarucu gerechten","Açaí; Maniokgerechten","De Amazonekeuken gebruikt riviervis, cassave en tropisch fruit. Veel gerechten zijn afkomstig uit inheemse tradities.","Vis; cassave; fruit; kruiden","Inheems; tropisch"
Falklandeilanden,Brits overzees gebied,Verenigd Koninkrijk,Zuid-Amerika,Overzees gebied,Atlantische eilandkeuken,"Lamsgerechten; Fish and chips","Zeevruchten","De keuken volgt grotendeels Britse eilandtradities met lokale producten.","Lam; vis; aardappel","Brits; Atlantisch"
Rapa Nui / Paaseiland,Speciale regio Chili,Chili,Zuid-Amerika/Oceanië,Culturele regio,Polynesische keuken,"Umu; Ceviche Rapa Nui","Poisson cru","De keuken van Rapa Nui combineert Polynesische tradities met Chileense invloeden.","Vis; zoete aardappel; kokos","Polynesisch; Chileens"
Tierra del Fuego,Regio Argentinië/Chili,Argentinië/Chili,Zuid-Amerika,Regio,Zuidelijke keuken,"Cordero fueguino","Krabgerechten; Vis","De keuken van Vuurland gebruikt lokale zeeproducten en lam uit koude gebieden.","Lam; krab; vis","Patagonisch; Europees"
Naam,Status,Moederland_of_bestuur,Continent,Type,Culinaire_regio,Nationaal_gerecht(en),Alternatieve_gerechten,Beschrijving,Belangrijkste_ingrediënten,Keukeninvloeden
Patagonië,Culturele regio,Argentinië/Chili,Zuid-Amerika,Regio,Patagonische keuken,"Cordero patagónico; Asado","Trucha patagónica; Empanadas","Patagonië heeft een keuken gevormd door gaucho's, schapenhouderij en de Andes. Langzaam geroosterd lam is een belangrijk gerecht.","Lam; wild; vis; aardappel","Gaucho; Mapuche; Europees"
Andesregio,Culturele regio,Meerdere landen,Zuid-Amerika,Regio,Andeskeuken,"Pachamanca; Chuño gerechten","Quinoa gerechten; Cuy","De Andeskeuken gebruikt eeuwenoude gewassen zoals aardappel, quinoa en maïs.","Aardappel; quinoa; maïs; lama","Inca; Quechua; Aymara"
Amazonegebied,Culturele regio,Brazilië/Peru/Colombia e.a.,Zuid-Amerika,Regio,Amazonekeuken,"Tacacá; Pirarucu gerechten","Açaí; Maniokgerechten","De Amazonekeuken gebruikt riviervis, cassave en tropisch fruit. Veel gerechten zijn afkomstig uit inheemse tradities.","Vis; cassave; fruit; kruiden","Inheems; tropisch"
Falklandeilanden,Brits overzees gebied,Verenigd Koninkrijk,Zuid-Amerika,Overzees gebied,Atlantische eilandkeuken,"Lamsgerechten; Fish and chips","Zeevruchten","De keuken volgt grotendeels Britse eilandtradities met lokale producten.","Lam; vis; aardappel","Brits; Atlantisch"
Rapa Nui / Paaseiland,Speciale regio Chili,Chili,Zuid-Amerika/Oceanië,Culturele regio,Polynesische keuken,"Umu; Ceviche Rapa Nui","Poisson cru","De keuken van Rapa Nui combineert Polynesische tradities met Chileense invloeden.","Vis; zoete aardappel; kokos","Polynesisch; Chileens"
Tierra del Fuego,Regio Argentinië/Chili,Argentinië/Chili,Zuid-Amerika,Regio,Zuidelijke keuken,"Cordero fueguino","Krabgerechten; Vis","De keuken van Vuurland gebruikt lokale zeeproducten en lam uit koude gebieden.","Lam; krab; vis","Patagonisch; Europees"
Naam,Status,Moederland_of_bestuur,Continent,Type,Culinaire_regio,Nationaal_gerecht(en),Alternatieve_gerechten,Beschrijving,Belangrijkste_ingrediënten,Keukeninvloeden
Aboriginal Australië,Inheemse culturele regio,Australië,Oceanië,Inheemse regio,Bush tucker keuken,"Kangaroo; Bush tucker gerechten","Damper; Witchetty grub","De Aboriginal keuken gebruikt duizenden jaren oude technieken en lokale planten en dieren. Bush tucker verwijst naar traditioneel voedsel uit het Australische landschap.","Wild; zaden; planten; vis","Aboriginal; Australisch"
Māori Aotearoa,Culturele regio,Nieuw-Zeeland,Oceanië,Inheemse regio,Māori keuken,"Hāngi; Rewena bread","Kina; Kūmara gerechten","De Māori keuken combineert traditionele Polynesische technieken met Nieuw-Zeelandse ingrediënten.","Zoete aardappel; vis; schelpdieren","Polynesisch; Māori"
Frans-Polynesië,Overzees gebied Frankrijk,Frankrijk,Oceanië,Overzees gebied,Polynesische keuken,"Poisson cru","Mahi mahi; Fafa","De keuken combineert Polynesische ingrediënten met Franse technieken. Poisson cru is rauwe vis gemarineerd in limoen en kokosmelk.","Tonijn; kokos; limoen; taro","Polynesisch; Frans"
